location_name,date,rainfall_mm_24h,river_discharge_m3s,risk_level,label_source
"Lagos, Nigeria",2010-03-21,0.3,144.88,low,default_low_unconfirmed
"Lagos, Nigeria",2010-03-22,0.0,142.88,low,default_low_unconfirmed
"Lagos, Nigeria",2010-03-23,0.0,139.28,low,default_low_unconfirmed
"Lagos, Nigeria",2010-03-24,0.5,134.83,low,default_low_unconfirmed
"Lagos, Nigeria",2010-03-25,1.0,130.22,low,default_low_unconfirmed
"Lagos, Nigeria",2010-03-26,0.7,125.47,low,default_low_unconfirmed
"Lagos, Nigeria",2010-03-27,1.4,121.74,low,default_low_unconfirmed
"Lagos, Nigeria",2010-03-28,0.8,119.23,low,default_low_unconfirmed
"Lagos, Nigeria",2010-03-29,0.9,117.3,low,default_low_unconfirmed
"Lagos, Nigeria",2010-03-30,1.4,117.03,low,default_low_unconfirmed
"Lagos, Nigeria",2010-03-31,1.6,118.12,low,default_low_unconfirmed
"Lagos, Nigeria",2010-04-01,2.6,118.67,low,default_low_unconfirmed
"Lagos, Nigeria",2010-04-02,1.2,118.95,low,default_low_unconfirmed
"Lagos, Nigeria",2010-04-03,0.8,117.3,low,default_low_unconfirmed
"Lagos, Nigeria",2010-04-04,0.6,116.22,low,default_low_unconfirmed
"Lagos, Nigeria",2010-04-05,2.7,115.95,low,default_low_unconfirmed
"Lagos, Nigeria",2010-04-06,3.3,117.03,low,default_low_unconfirmed
"Lagos, Nigeria",2010-04-07,1.3,117.3,low,default_low_unconfirmed
"Lagos, Nigeria",2010-04-08,1.0,116.76,low,default_low_unconfirmed
"Lagos, Nigeria",2010-04-09,1.8,116.22,low,default_low_unconfirmed
"Lagos, Nigeria",2010-04-10,0.5,116.49,low,default_low_unconfirmed
"Lagos, Nigeria",2010-04-11,1.1,116.49,low,default_low_unconfirmed
"Lagos, Nigeria",2010-04-12,0.0,115.95,low,default_low_unconfirmed
"Lagos, Nigeria",2010-04-13,4.3,116.22,low,default_low_unconfirmed
"Lagos, Nigeria",2010-04-14,4.9,118.4,low,default_low_unconfirmed
"Lagos, Nigeria",2010-04-15,0.4,122.03,low,default_low_unconfirmed
"Lagos, Nigeria",2010-04-16,3.0,124.6,low,default_low_unconfirmed
"Lagos, Nigeria",2010-04-17,0.6,128.12,low,default_low_unconfirmed
"Lagos, Nigeria",2010-04-18,0.0,129.92,low,default_low_unconfirmed
"Lagos, Nigeria",2010-04-19,4.1,133.59,low,default_low_unconfirmed
"Lagos, Nigeria",2010-04-20,7.1,141.56,low,default_low_unconfirmed
"Lagos, Nigeria",2010-04-21,7.3,150.36,low,default_low_unconfirmed
"Lagos, Nigeria",2010-04-22,9.5,157.12,low,default_low_unconfirmed
"Lagos, Nigeria",2010-04-23,7.7,166.11,low,default_low_unconfirmed
"Lagos, Nigeria",2010-04-24,1.4,175.6,low,default_low_unconfirmed
"Lagos, Nigeria",2010-04-25,5.0,184.78,low,default_low_unconfirmed
"Lagos, Nigeria",2010-04-26,14.6,197.61,low,default_low_unconfirmed
"Lagos, Nigeria",2010-04-27,6.9,211.81,low,default_low_unconfirmed
"Lagos, Nigeria",2010-04-28,5.1,218.28,low,default_low_unconfirmed
"Lagos, Nigeria",2010-04-29,8.1,223.91,low,default_low_unconfirmed
"Lagos, Nigeria",2010-04-30,7.0,224.94,low,default_low_unconfirmed
